Estacion,Promedio de Valor,SubIndicador
DQS01HC01 - Dique Sur,348.8220829114387,Caudal_max
H5006 - Aglla en captacion,51.602237413927874,Caudal_max
H5026 - Carihuayco en Paluguillo,36.56114494647214,Caudal_max
